terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,outcome_majority,success_rate,stable_rate,unstable_rate,fail_rate,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,start_z_mean,end_z_mean,delta_z_mean,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,planned_mode_mode,obs_mode_mode
1.0,0.0,8,10,2,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.3001,0.0367,0.0069,0.0073,0.2679,0.0096,0.9822,0.0561,0.4958,0.2397,22.0036,0.0015,,,0.1453,0.076,0.1418,0.0743,-0.0675,3.7061,3.7069,99.3987,99.4057,6,0
1.0,0.05,10,10,0,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,2.0954,0.0657,0.0565,0.0172,0.4381,0.0333,1.0876,0.0659,0.3821,0.1422,22.0029,0.001,,,0.1853,0.1048,0.124,0.1174,-0.0066,3.9151,3.9168,101.5275,101.5344,9,0
1.0,0.07,9,10,1,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.7454,0.121,0.1033,0.0488,1.0808,0.0594,1.8029,0.1133,0.896,0.3624,22.0034,0.0017,,,0.1676,0.0938,0.0625,0.1621,0.0995,4.1116,4.1149,106.0167,106.0237,6,0
1.0,0.08,9,10,1,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,3.084,0.1477,0.0877,0.0593,1.4684,0.0515,2.2174,0.1064,0.9776,0.357,22.0032,0.0007,,,0.1654,0.0912,0.0932,0.1823,0.0891,4.2298,4.2338,109.5432,109.5502,9,0
1.0,0.09,10,10,0,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,3.3505,0.1051,0.0988,0.1026,1.8907,0.0587,2.7218,0.151,1.2515,0.2793,22.0035,0.0008,,,0.1816,0.0993,0.1941,0.2912,0.0971,4.33,4.3349,113.4862,113.4933,6,0
1.0,0.1,6,10,4,stable,0.8333,0.8333,0.0,0.1667,1.0,0.0,0,0.0,0.0,3.2613,1.0005,0.2075,0.2952,2.4895,0.1933,4.3637,0.3989,5.2472,2.7674,19.7065,5.1361,8.2167,0.0,0.1411,0.0547,0.1847,0.2995,0.1148,4.3745,4.3793,122.3665,122.376,9,0
1.0,0.12,3,10,7,fail,0.3333,0.3333,0.0,0.6667,1.0,0.0,0,0.0,0.0,2.0824,0.8003,0.569,0.9184,6.9242,2.5027,7.8281,0.5863,12.2558,4.3506,16.9155,4.6407,14.3667,3.5867,0.1166,0.0,0.1829,0.1857,0.0028,4.211,4.2172,157.2582,157.3259,9,0
1.0,0.15,0,10,10,none,,,,,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,9,10,1,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.3607,0.0155,0.0271,0.0117,0.4407,0.0164,0.9692,0.0569,1.2494,0.2749,22.0033,0.0006,,,0.1419,0.0715,0.2471,0.3235,0.0764,3.6428,3.6438,99.4403,99.4472,6,0
3.0,0.05,10,10,0,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,2.1402,0.0486,0.056,0.0396,0.5701,0.0264,1.1651,0.0359,0.7751,0.3949,22.0036,0.0006,,,0.1842,0.1032,0.1391,0.2165,0.0774,3.8489,3.8511,102.2572,102.2642,9,0
3.0,0.07,10,10,0,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,2.5943,0.0584,0.0751,0.0936,1.0449,0.0302,1.7691,0.0695,0.8922,0.4855,22.0033,0.0006,,,0.1366,0.06,0.1101,0.2253,0.1151,4.0141,4.0175,107.1715,107.1786,9,0
3.0,0.08,10,10,0,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,2.7611,0.0461,0.1363,0.1987,1.3503,0.0491,2.1771,0.1268,1.2743,0.6817,22.0033,0.0013,,,0.1498,0.0666,0.1393,0.3003,0.161,4.0899,4.0941,110.4006,110.4076,9,0
3.0,0.09,9,10,1,stable,0.7778,0.7778,0.0,0.2222,1.0,0.0,0,0.0,0.0,2.6217,0.7141,0.1638,0.3907,1.8345,0.24,3.0021,0.4626,2.3498,1.5751,19.0757,5.4768,8.8196,0.232,0.148,0.0587,0.2457,0.3118,0.0661,4.1268,4.1317,115.6185,115.6287,6,0
3.0,0.1,7,10,3,stable,0.5714,0.5714,0.0,0.4286,1.0,0.0,0,0.0,0.0,2.5491,1.1019,-0.2039,0.7748,3.9038,3.7818,4.9207,2.0402,5.2292,4.3252,16.8826,6.1043,10.0511,2.3143,0.1588,0.0666,0.2393,0.292,0.0527,4.1936,4.1993,129.4372,129.4541,9,0
3.0,0.12,8,10,2,fail,0.375,0.125,0.25,0.625,1.0,0.0,0,0.0,0.0,1.8974,0.7938,0.3296,0.6442,9.5732,3.9353,9.2213,1.5173,16.3365,9.5907,15.665,5.3598,11.8491,2.7178,0.1166,0.0,0.2442,0.2073,-0.0369,4.1682,4.1756,164.4188,164.4603,9,0
3.0,0.15,1,10,9,fail,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.9728,0.0,0.6838,0.0,8.6117,0.0,9.705,0.0,15.1839,0.0,18.0219,0.0,18.0176,0.0,0.1166,0.0,0.2792,0.2401,-0.0391,4.36,4.3685,176.3533,176.3885,6,0
5.0,0.0,9,11,2,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.4287,0.021,0.0448,0.0185,0.7045,0.0264,0.9178,0.0578,1.9773,0.3453,22.0021,0.0004,,,0.2159,0.1107,0.1258,0.1895,0.0637,3.5778,3.5788,99.8468,99.8537,9,0
