terrain 1.0 cm
  d=0.0000s | n=8/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=1.3001 | lat=0.0069 | roll=0.2679 | pitch=0.9822 | ttf=-
  d=0.0500s | n=10/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.0954 | lat=0.0565 | roll=0.4381 | pitch=1.0876 | ttf=-
  d=0.0700s | n=9/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.7454 | lat=0.1033 | roll=1.0808 | pitch=1.8029 | ttf=-
  d=0.0800s | n=9/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=3.0840 | lat=0.0877 | roll=1.4684 | pitch=2.2174 | ttf=-
  d=0.0900s | n=10/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=3.3505 | lat=0.0988 | roll=1.8907 | pitch=2.7218 | ttf=-
  d=0.1000s | n=6/10 | outcome=stable | success=0.8333 | stable=0.8333 | fail=0.1667 | end_only=0 (0.0000) | fwd=3.2613 | lat=0.2075 | roll=2.4895 | pitch=4.3637 | ttf=8.2167
  d=0.1200s | n=3/10 | outcome=fail | success=0.3333 | stable=0.3333 | fail=0.6667 | end_only=0 (0.0000) | fwd=2.0824 | lat=0.5690 | roll=6.9242 | pitch=7.8281 | ttf=14.3667
  d=0.1500s | n=0/10 | outcome=none | success=- | stable=- | fail=- | end_only=0 (0.0000) | fwd=- | lat=- | roll=- | pitch=- | ttf=-

terrain 3.0 cm
  d=0.0000s | n=9/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=1.3607 | lat=0.0271 | roll=0.4407 | pitch=0.9692 | ttf=-
  d=0.0500s | n=10/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.1402 | lat=0.0560 | roll=0.5701 | pitch=1.1651 | ttf=-
  d=0.0700s | n=10/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.5943 | lat=0.0751 | roll=1.0449 | pitch=1.7691 | ttf=-
  d=0.0800s | n=10/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.7611 | lat=0.1363 | roll=1.3503 | pitch=2.1771 | ttf=-
  d=0.0900s | n=9/10 | outcome=stable | success=0.7778 | stable=0.7778 | fail=0.2222 | end_only=0 (0.0000) | fwd=2.6217 | lat=0.1638 | roll=1.8345 | pitch=3.0021 | ttf=8.8196
  d=0.1000s | n=7/10 | outcome=stable | success=0.5714 | stable=0.5714 | fail=0.4286 | end_only=0 (0.0000) | fwd=2.5491 | lat=-0.2039 | roll=3.9038 | pitch=4.9207 | ttf=10.0511
  d=0.1200s | n=8/10 | outcome=fail | success=0.3750 | stable=0.1250 | fail=0.6250 | end_only=0 (0.0000) | fwd=1.8974 | lat=0.3296 | roll=9.5732 | pitch=9.2213 | ttf=11.8491
  d=0.1500s | n=1/10 | outcome=fail | success=0.0000 | stable=0.0000 | fail=1.0000 | end_only=0 (0.0000) | fwd=1.9728 | lat=0.6838 | roll=8.6117 | pitch=9.7050 | ttf=18.0176

terrain 5.0 cm
  d=0.0000s | n=9/11 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=1.4287 | lat=0.0448 | roll=0.7045 | pitch=0.9178 | ttf=-
  d=0.0500s | n=10/11 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.2486 | lat=0.0130 | roll=0.8395 | pitch=1.3569 | ttf=-
  d=0.0700s | n=10/13 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.7088 | lat=0.3148 | roll=1.2637 | pitch=2.0655 | ttf=-
  d=0.0800s | n=10/11 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.8994 | lat=-0.3379 | roll=1.5922 | pitch=2.5662 | ttf=-
  d=0.0900s | n=10/11 | outcome=stable | success=0.9000 | stable=0.9000 | fail=0.1000 | end_only=0 (0.0000) | fwd=2.9073 | lat=0.6535 | roll=2.7346 | pitch=4.0210 | ttf=10.7632
  d=0.1000s | n=10/12 | outcome=stable | success=0.7000 | stable=0.6000 | fail=0.3000 | end_only=0 (0.0000) | fwd=2.8455 | lat=0.5244 | roll=6.0827 | pitch=5.6840 | ttf=11.1750
  d=0.1200s | n=3/12 | outcome=fail | success=0.0000 | stable=0.0000 | fail=1.0000 | end_only=0 (0.0000) | fwd=0.7767 | lat=0.7574 | roll=10.3646 | pitch=9.3128 | ttf=11.0131
  d=0.1500s | n=1/11 | outcome=fail | success=0.0000 | stable=0.0000 | fail=1.0000 | end_only=0 (0.0000) | fwd=0.7181 | lat=-0.4033 | roll=12.2253 | pitch=7.5989 | ttf=8.0878
  d=1.0000s | n=0/2 | outcome=none | success=- | stable=- | fail=- | end_only=0 (0.0000) | fwd=- | lat=- | roll=- | pitch=- | ttf=-
  d=10.0000s | n=0/1 | outcome=none | success=- | stable=- | fail=- | end_only=0 (0.0000) | fwd=- | lat=- | roll=- | pitch=- | ttf=-

terrain 7.0 cm
  d=0.0000s | n=8/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=1.4651 | lat=0.0016 | roll=0.7626 | pitch=1.0475 | ttf=-
  d=0.0500s | n=7/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.2071 | lat=0.0407 | roll=0.9723 | pitch=1.3320 | ttf=-
  d=0.0700s | n=10/10 | outcome=stable | success=0.7000 | stable=0.6000 | fail=0.3000 | end_only=0 (0.0000) | fwd=2.3195 | lat=0.1344 | roll=2.2706 | pitch=3.3785 | ttf=8.8742
  d=0.0800s | n=8/10 | outcome=stable | success=0.7500 | stable=0.6250 | fail=0.2500 | end_only=0 (0.0000) | fwd=2.3983 | lat=0.0108 | roll=3.6880 | pitch=4.2018 | ttf=9.4718
  d=0.0900s | n=8/10 | outcome=stable | success=0.7500 | stable=0.7500 | fail=0.2500 | end_only=0 (0.0000) | fwd=2.6461 | lat=0.1407 | roll=2.0814 | pitch=3.7049 | ttf=8.1819
