terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,success_rate,stable_rate,unstable_rate,fail_rate,outcome_majority,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,yaw_change_deg_mean,yaw_change_deg_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,base_z_std_mean,base_z_std_std,startup_gait_body_frame_forward_progress_mean,startup_gait_body_frame_forward_progress_std,distance_xy_mean,distance_xy_std,mean_forward_velocity_mean,mean_forward_velocity_std,start_z_mean,start_z_std,end_z_mean,end_z_std,delta_z_mean,delta_z_std,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,obs_contact_mean_fl,obs_contact_mean_fr,obs_contact_mean_rl,obs_contact_mean_rr,plan_contact_mean_fl,plan_contact_mean_fr,plan_contact_mean_rl,plan_contact_mean_rr,planned_mode_mode,obs_mode_mode
1.0,0.0,8,10,2,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,1.3001,0.0367,0.0069,0.0073,0.2679,0.0096,0.9822,0.0561,0.4958,0.2397,0.7393,0.4278,22.0036,0.0015,,,0.1453,0.076,0.0217,0.0073,-0.009,0.0012,1.3001,0.0367,0.0591,0.0017,0.1418,0.075,0.0743,0.1093,-0.0675,0.0806,3.7061,3.7069,99.3987,99.4057,0.0,0.0,0.0,0.0,0.6369,0.6377,0.6377,0.6369,6,0
1.0,0.05,10,10,0,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,,2.0954,0.0657,0.0565,0.0172,0.4381,0.0333,1.0876,0.0659,0.3821,0.1422,0.1504,0.4487,22.0029,0.001,,,0.1853,0.1048,0.0179,0.0098,-0.0133,0.002,2.0962,0.0657,0.0953,0.003,0.124,0.1023,0.1174,0.1612,-0.0066,0.0588,3.9151,3.9168,101.5275,101.5344,0.0,0.0,0.0,0.0,0.6383,0.6386,0.6386,0.6383,9,0
1.0,0.07,9,10,1,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,2.7454,0.121,0.1033,0.0488,1.0808,0.0594,1.8029,0.1133,0.896,0.3624,1.3671,0.6225,22.0034,0.0017,,,0.1676,0.0938,0.0205,0.009,-0.0233,0.0054,2.7477,0.1205,0.1249,0.0055,0.0625,0.1169,0.1621,0.1184,0.0995,0.0482,4.1116,4.1149,106.0167,106.0237,0.0,0.0,0.0,0.0,0.6375,0.6386,0.6386,0.6375,6,0
1.0,0.08,9,10,1,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,3.084,0.1477,0.0877,0.0593,1.4684,0.0515,2.2174,0.1064,0.9776,0.357,1.3689,0.7576,22.0032,0.0007,,,0.1654,0.0912,0.0209,0.0084,-0.0238,0.0082,3.0859,0.1472,0.1402,0.0067,0.0932,0.1319,0.1823,0.1342,0.0891,0.0365,4.2298,4.2338,109.5432,109.5502,0.0,0.0,0.0,0.0,0.6374,0.6378,0.6378,0.6374,9,0
1.0,0.09,10,10,0,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,,3.3505,0.1051,0.0988,0.1026,1.8907,0.0587,2.7218,0.151,1.2515,0.2793,1.5048,1.3335,22.0035,0.0008,,,0.1816,0.0993,0.0201,0.0087,-0.0311,0.0062,3.3536,0.1037,0.1524,0.0047,0.1941,0.1271,0.2912,0.1237,0.0971,0.0492,4.33,4.3349,113.4862,113.4933,0.0,0.0,0.0,0.0,0.6382,0.6383,0.6383,0.6382,6,0
1.0,0.1,6,10,4,0.8333,0.8333,0.0,0.1667,stable,1.0,0.0,0,0.0,0.0,3.2613,1.0005,0.2075,0.2952,2.4895,0.1933,4.3637,0.3989,5.2472,2.7674,1.8192,7.182,19.7065,5.1361,8.2167,0.0,0.1411,0.0547,0.0291,0.0058,-0.0371,0.0041,3.2799,1.005,0.1625,0.0166,0.1847,0.1309,0.2995,0.0798,0.1148,0.0692,4.3745,4.3793,122.3665,122.376,0.0,0.0,0.0,0.0,0.6477,0.6422,0.6422,0.6477,9,0
1.0,0.12,3,10,7,0.3333,0.3333,0.0,0.6667,fail,1.0,0.0,0,0.0,0.0,2.0824,0.8003,0.569,0.9184,6.9242,2.5027,7.8281,0.5863,12.2558,4.3506,-10.5891,23.664,16.9155,4.6407,14.3667,3.5867,0.1166,0.0,0.0479,0.0062,-0.0638,0.005,2.4273,0.5025,0.1513,0.0379,0.1829,0.1298,0.1857,0.0665,0.0028,0.091,4.211,4.2172,157.2582,157.3259,0.0,0.0,0.0,0.0,0.6201,0.6161,0.6161,0.6201,9,0
1.0,0.15,0,10,10,,,,,none,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,9,10,1,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,1.3607,0.0155,0.0271,0.0117,0.4407,0.0164,0.9692,0.0569,1.2494,0.2749,2.0052,0.4564,22.0033,0.0006,,,0.1419,0.0715,0.0223,0.0068,-0.0087,0.0019,1.3611,0.0154,0.0619,0.0007,0.2471,0.0877,0.3235,0.0984,0.0764,0.011,3.6428,3.6438,99.4403,99.4472,0.0,0.0,0.0,0.0,0.6378,0.6386,0.6386,0.6378,6,0
3.0,0.05,10,10,0,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,,2.1402,0.0486,0.056,0.0396,0.5701,0.0264,1.1651,0.0359,0.7751,0.3949,1.086,0.8178,22.0036,0.0006,,,0.1842,0.1032,0.0183,0.0091,-0.0179,0.0038,2.1413,0.0485,0.0973,0.0022,0.1391,0.1388,0.2165,0.1436,0.0774,0.0217,3.8489,3.8511,102.2572,102.2642,0.0,0.0,0.0,0.0,0.6385,0.6383,0.6383,0.6385,9,0
