run_id,original_path,exclusion_reason,secondary_label,detail
20260410_222324_ocs2_stepdown_ctp1000_height_only_nominal_v1_contactflagbias_p1000_v2,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_222324_ocs2_stepdown_ctp1000_height_only_nominal_v1_contactflagbias_p1000_v2,short_duration,,duration_executed=6.8808
20260410_222450_ocs2_stepdown_ctp100_height_only_nominal_v1_contactflagbias_p100_v3,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_222450_ocs2_stepdown_ctp100_height_only_nominal_v1_contactflagbias_p100_v3,low_progress,,low_progress:0.0071
20260410_222531_ocs2_stepdown_ctp100_height_only_nominal_v1_contactflagbias_p100_rerun_v4,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_222531_ocs2_stepdown_ctp100_height_only_nominal_v1_contactflagbias_p100_rerun_v4,short_duration,,duration_executed=4.2806
20260410_223050_ocs2_stepdown_ctp007_height_only_nominal_v1_contactflagbias_p007_v1,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_223050_ocs2_stepdown_ctp007_height_only_nominal_v1_contactflagbias_p007_v1,low_progress,,low_progress:0.0200
20260410_223129_ocs2_stepdown_ctp007_height_only_nominal_v1_contactflagbias_p007_rerun_v2,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_223129_ocs2_stepdown_ctp007_height_only_nominal_v1_contactflagbias_p007_rerun_v2,low_progress,,low_progress:0.0202
20260410_224221_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_p015_v1,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_224221_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_p015_v1,short_duration,,duration_executed=6.7007
20260410_224332_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_p012_v1,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_224332_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_p012_v1,low_progress,,low_progress:0.0071
20260410_231939_ocs2_stepdown_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_231939_ocs2_stepdown_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_r02,low_progress,,low_progress:0.0201
20260410_232048_ocs2_stepdown_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_232048_ocs2_stepdown_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_r04,low_progress,,low_progress:0.0206
20260410_232707_ocs2_stepdown_ctp005_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp005_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_232707_ocs2_stepdown_ctp005_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp005_r05,low_progress,,low_progress:0.0207
