terrain_height_cm,contact_timing_bias_s,n_short_duration,n_low_progress,n_startup_collapse,n_total_excluded
1.0,0.0000,0,2,0,2
1.0,0.0500,0,0,0,0
1.0,0.0700,1,0,0,1
1.0,0.0800,0,1,0,1
1.0,0.0900,0,0,0,0
1.0,0.1000,1,3,0,4
1.0,0.1200,4,3,0,7
1.0,0.1500,9,1,0,10
3.0,0.0000,0,1,0,1
3.0,0.0500,0,0,0,0
3.0,0.0700,0,0,0,0
3.0,0.0800,0,0,0,0
3.0,0.0900,0,1,0,1
3.0,0.1000,2,1,0,3
3.0,0.1200,2,0,0,2
3.0,0.1500,8,1,0,9
5.0,0.0000,0,2,0,2
5.0,0.0500,0,1,0,1
5.0,0.0700,0,3,0,3
5.0,0.0800,0,1,0,1
5.0,0.0900,0,1,0,1
5.0,0.1000,2,0,0,2
5.0,0.1200,5,4,0,9
5.0,0.1500,8,2,0,10
5.0,1.0000,1,1,0,2
5.0,10.0000,1,0,0,1
7.0,0.0000,0,2,0,2
7.0,0.0500,0,3,0,3
7.0,0.0700,0,0,0,0
7.0,0.0800,0,2,0,2
7.0,0.0900,0,2,0,2
7.0,0.1000,2,2,0,4
7.0,0.1200,2,0,0,2
7.0,0.1500,7,3,0,10
9.0,0.0000,0,0,0,0
9.0,0.0500,0,1,0,1
9.0,0.0700,0,1,0,1
9.0,0.0800,0,1,0,1
9.0,0.0900,1,1,0,2
9.0,0.1000,1,1,3,5
9.0,0.1200,4,1,4,9
9.0,0.1500,8,2,0,10
