terrain_height_cm,contact_timing_bias_s,n_total_runs,n_pass_runs,n_excluded_runs,success_rate,stable_rate,fail_rate,forward_progress_mean,roll_rms_deg_mean,pitch_rms_deg_mean,outcome_majority,note
1.0,0.0,10,8,2,1.0000,1.0000,0.0000,1.3001,0.2679,0.9822,stable,stable
1.0,0.05,10,10,0,1.0000,1.0000,0.0000,2.0954,0.4381,1.0876,stable,stable
1.0,0.07,10,9,1,1.0000,1.0000,0.0000,2.7454,1.0808,1.8029,stable,stable
1.0,0.08,10,9,1,1.0000,1.0000,0.0000,3.0840,1.4684,2.2174,stable,stable
1.0,0.09,10,10,0,1.0000,1.0000,0.0000,3.3505,1.8907,2.7218,stable,stable
1.0,0.1,10,6,4,0.8333,0.8333,0.1667,3.2613,2.4895,4.3637,stable,stable
1.0,0.12,10,3,7,0.3333,0.3333,0.6667,2.0824,6.9242,7.8281,fail,mostly fail
1.0,0.15,10,0,10,,,,,,,none,degrading
3.0,0.0,10,9,1,1.0000,1.0000,0.0000,1.3607,0.4407,0.9692,stable,stable
3.0,0.05,10,10,0,1.0000,1.0000,0.0000,2.1402,0.5701,1.1651,stable,stable
3.0,0.07,10,10,0,1.0000,1.0000,0.0000,2.5943,1.0449,1.7691,stable,stable
3.0,0.08,10,10,0,1.0000,1.0000,0.0000,2.7611,1.3503,2.1771,stable,stable
3.0,0.09,10,9,1,0.7778,0.7778,0.2222,2.6217,1.8345,3.0021,stable,degrading
3.0,0.1,10,7,3,0.5714,0.5714,0.4286,2.5491,3.9038,4.9207,stable,degrading
3.0,0.12,10,8,2,0.3750,0.1250,0.6250,1.8974,9.5732,9.2213,fail,mostly fail
3.0,0.15,10,1,9,0.0000,0.0000,1.0000,1.9728,8.6117,9.7050,fail,mostly fail
5.0,0.0,11,9,2,1.0000,1.0000,0.0000,1.4287,0.7045,0.9178,stable,stable
5.0,0.05,11,10,1,1.0000,1.0000,0.0000,2.2486,0.8395,1.3569,stable,stable
5.0,0.07,13,10,3,1.0000,1.0000,0.0000,2.7088,1.2637,2.0655,stable,stable
5.0,0.08,11,10,1,1.0000,1.0000,0.0000,2.8994,1.5922,2.5662,stable,stable
5.0,0.09,11,10,1,0.9000,0.9000,0.1000,2.9073,2.7346,4.0210,stable,stable
5.0,0.1,12,10,2,0.7000,0.6000,0.3000,2.8455,6.0827,5.6840,stable,degrading
5.0,0.12,12,3,9,0.0000,0.0000,1.0000,0.7767,10.3646,9.3128,fail,mostly fail
5.0,0.15,11,1,10,0.0000,0.0000,1.0000,0.7181,12.2253,7.5989,fail,mostly fail
5.0,1.0,2,0,2,,,,,,,none,degrading
5.0,10.0,1,0,1,,,,,,,none,degrading
7.0,0.0,10,8,2,1.0000,1.0000,0.0000,1.4651,0.7626,1.0475,stable,stable
7.0,0.05,10,7,3,1.0000,1.0000,0.0000,2.2071,0.9723,1.3320,stable,stable
7.0,0.07,10,10,0,0.7000,0.6000,0.3000,2.3195,2.2706,3.3785,stable,degrading
7.0,0.08,10,8,2,0.7500,0.6250,0.2500,2.3983,3.6880,4.2018,stable,degrading
7.0,0.09,10,8,2,0.7500,0.7500,0.2500,2.6461,2.0814,3.7049,stable,degrading
7.0,0.1,10,6,4,0.6667,0.6667,0.3333,2.5961,4.8924,5.8481,stable,degrading
7.0,0.12,10,8,2,0.3750,0.0000,0.6250,2.1821,9.5441,7.8495,fail,mostly fail
7.0,0.15,10,0,10,,,,,,,none,degrading
9.0,0.0,10,10,0,1.0000,1.0000,0.0000,1.5396,0.9244,0.8904,stable,stable
9.0,0.05,10,9,1,1.0000,1.0000,0.0000,2.2059,1.0829,1.4982,stable,stable
9.0,0.07,10,9,1,0.6667,0.6667,0.3333,2.2549,1.9707,3.0760,stable,degrading
9.0,0.08,10,9,1,0.8889,0.7778,0.1111,2.8239,2.4886,4.1035,stable,degrading
9.0,0.09,10,8,2,0.8750,0.8750,0.1250,2.8152,3.0598,4.6446,stable,stable
9.0,0.1,10,5,5,1.0000,1.0000,0.0000,3.1858,2.3474,4.3828,stable,stable
9.0,0.12,10,1,9,0.0000,0.0000,1.0000,1.6094,18.8665,9.1119,fail,mostly fail
9.0,0.15,10,0,10,,,,,,,none,degrading
