time_sec,swing_phase,nominal_spline_z_m,nominal_spline_vz_mps,perceptive_spline_z_m,perceptive_spline_vz_mps,planned_foot_x_m,planned_foot_y_m,planned_foot_z_m,measured_foot_x_m,measured_foot_y_m,measured_foot_z_m,physical_terrain_height_m,perceived_terrain_height_m
10.702000000,0.000000000,0.200000000,0.050000000,0.200000000,0.050000000,0.579805362,0.152351666,0.266155281,0.580700822,0.151737692,0.268008302,0.200000000,0.200000000
10.704000000,0.008000000,0.200157610,0.107295360,0.200157610,0.107295360,0.580853837,0.152239475,0.266288914,0.581511629,0.151459631,0.267825681,0.200000000,0.200000000
10.706000000,0.016000000,0.200427922,0.162701440,0.200427922,0.162701440,0.581900371,0.152127338,0.266424468,0.580969823,0.151624256,0.268066857,0.200000000,0.200000000
10.708000000,0.024000000,0.200807156,0.216218240,0.200807156,0.216218240,0.582946992,0.152015255,0.266559960,0.581270343,0.151655879,0.268192504,0.200000000,0.200000000
10.710000000,0.032000000,0.201291535,0.267845760,0.201291535,0.267845760,0.583993989,0.151903215,0.266698892,0.581832007,0.151756686,0.268448444,0.200000000,0.200000000
10.712000000,0.040000000,0.201877280,0.317584000,0.201877280,0.317584000,0.585038136,0.151791257,0.266836459,0.581832007,0.151756686,0.268448444,0.200000000,0.200000000
10.714000000,0.048000000,0.202560612,0.365432960,0.202560612,0.365432960,0.586082092,0.151679354,0.266975805,0.583303032,0.151593953,0.268532717,0.200000000,0.200000000
10.716000000,0.056000000,0.203337752,0.411392640,0.203337752,0.411392640,0.587124875,0.151567508,0.267115118,0.584238884,0.152232445,0.269528832,0.200000000,0.200000000
10.718000000,0.064000000,0.204204923,0.455463040,0.204204923,0.455463040,0.588167048,0.151455732,0.267255353,0.585114229,0.152399439,0.269922193,0.200000000,0.200000000
10.720000000,0.072000000,0.205158345,0.497644160,0.205158345,0.497644160,0.589207310,0.151344039,0.267397531,0.585114229,0.152399439,0.269922193,0.200000000,0.200000000
10.722000000,0.080000000,0.206194240,0.537936000,0.206194240,0.537936000,0.590249516,0.151232396,0.267541309,0.586769079,0.152221697,0.269998028,0.200000000,0.200000000
10.724000000,0.088000000,0.207308829,0.576338560,0.207308829,0.576338560,0.591515863,0.151097006,0.268633386,0.587175479,0.153113110,0.272232818,0.200000000,0.200000000
10.726000000,0.096000000,0.208498335,0.612851840,0.208498335,0.612851840,0.589941715,0.149220823,0.272518522,0.588884359,0.152908375,0.272569777,0.200000000,0.200000000
10.728000000,0.104000000,0.209758977,0.647475840,0.209758977,0.647475840,0.591164541,0.148986844,0.273655851,0.589809806,0.153070998,0.273320904,0.200000000,0.200000000
10.730000000,0.112000000,0.211086979,0.680210560,0.211086979,0.680210560,0.592382514,0.148753585,0.274799647,0.590582806,0.152710698,0.272786904,0.200000000,0.200000000
10.732000000,0.120000000,0.212478560,0.711056000,0.212478560,0.711056000,0.593595860,0.148521048,0.275946158,0.591637613,0.153420842,0.274906412,0.200000000,0.200000000
10.734000000,0.128000000,0.213929943,0.740012160,0.213929943,0.740012160,0.594807068,0.148289253,0.277099805,0.592561268,0.153564356,0.275866477,0.200000000,0.200000000
10.736000000,0.136000000,0.215437349,0.767079040,0.215437349,0.767079040,0.596014083,0.148058142,0.278259831,0.592695937,0.154076513,0.277525840,0.200000000,0.200000000
10.738000000,0.144000000,0.216997000,0.792256640,0.216997000,0.792256640,0.597217131,0.147827774,0.279424011,0.593479937,0.153700713,0.276882840,0.100000000,0.130000000
10.740000000,0.152000000,0.218605116,0.815544960,0.218605116,0.815544960,0.598416492,0.147598154,0.280593679,0.595260413,0.154007518,0.278832153,0.100000000,0.130000000
10.742000000,0.160000000,0.220257920,0.836944000,0.220257920,0.836944000,0.599611857,0.147369284,0.281769633,0.596143092,0.154173193,0.279770008,0.100000000,0.130000000
10.744000000,0.168000000,0.221951633,0.856453760,0.221951633,0.856453760,0.600974649,0.147168986,0.283460273,0.597043203,0.154333227,0.280728906,0.100000000,0.130000000
10.746000000,0.176000000,0.223682476,0.874074240,0.223682476,0.874074240,0.602332369,0.146969353,0.285161711,0.597967573,0.154482743,0.281744198,0.100000000,0.130000000
10.748000000,0.184000000,0.225446670,0.889805440,0.225446670,0.889805440,0.603679887,0.146770468,0.286870513,0.597967573,0.154482743,0.281744198,0.100000000,0.130000000
10.750000000,0.192000000,0.227240438,0.903647360,0.227240438,0.903647360,0.605021731,0.146572298,0.288590150,0.598945028,0.155281490,0.284349238,0.100000000,0.130000000
10.752000000,0.200000000,0.229060000,0.915600000,0.229060000,0.915600000,0.606355305,0.146374882,0.290317171,0.600450328,0.155223023,0.283632742,0.100000000,0.130000000
10.754000000,0.208000000,0.230901578,0.925663360,0.230901578,0.925663360,0.607681520,0.146178209,0.292054746,0.601255328,0.154816323,0.282766742,0.100000000,0.130000000
10.756000000,0.216000000,0.232761394,0.933837440,0.232761394,0.933837440,0.608999650,0.145982264,0.293800490,0.601875693,0.155240156,0.282570360,0.100000000,0.130000000
